id_persona,PeID
01736-1-01,948
01737-1-01,949
01737-1-02,950
01738-1-01,951
01738-1-02,952
01748-1-02,953
01752-1-01,954
01753-1-02,955
01753-1-06,956
01753-1-07,957
01754-1-02,958
01757-1-01,959
01757-1-02,960
01758-1-02,961
01759-1-02,962
01761-1-01,963
01761-1-02,964
01765-1-01,965
01769-1-03,966
01770-1-01,967
01770-1-04,968
01771-1-01,969
01773-1-01,970
01773-1-02,971
01774-1-01,972
01776-1-01,973
01776-1-02,974
01778-1-01,975
01779-1-02,976
01780-1-02,977
01782-1-04,978
01783-1-03,979
01785-1-01,980
01786-1-01,981
01787-1-01,982
01788-1-02,983
01791-1-01,984
01792-1-01,985
01797-1-02,986
01799-1-01,987
01801-1-01,988
01803-1-02,989
01806-1-01,990
01809-1-01,991
01810-1-01,992
01818-1-01,993
01818-1-02,994
01821-1-03,995
01821-1-04,996
01821-1-05,997
01822-1-01,998
01825-1-01,999
01825-1-02,1000
01826-1-02,1001
01831-1-01,1002
01832-1-02,1003
01833-1-02,1004
01834-1-01,1005
01834-1-02,1006
01834-1-03,1007
01837-1-02,1008
01839-1-01,1009
01842-1-02,1010
01843-1-03,1011
01844-1-02,1012
01845-1-01,1013
01846-1-01,1014
01852-1-04,1015
01860-1-01,1016
01865-1-01,1017
01867-1-01,1018
01868-1-01,1019
01869-1-02,1020
01869-1-03,1021
01874-1-03,1022
01876-1-02,1023
01877-1-02,1024
01880-1-01,1025
01880-1-02,1026
01880-1-04,1027
01882-1-01,1028
01884-1-01,1029
01885-1-01,1030
01886-1-03,1031
01888-1-02,1032
01891-1-01,1033
01892-1-01,1034
01893-1-01,1035
01894-1-05,1036
01896-1-05,1037
01897-1-02,1038
01897-2-01,1039
01899-1-01,1040
01903-1-01,1041
01905-1-01,1042
01907-1-01,1043
01908-1-01,1044
01912-1-03,1045
01916-1-01,1046
01917-1-01,1047
01920-1-01,1048
01921-1-04,1049
01924-1-01,1050
01925-1-02,1051
01926-1-01,1052
01928-1-01,1053
01929-1-01,1054
01934-1-01,1055
01936-1-04,1056
01939-1-01,1057
01940-1-01,1058
01944-1-02,1059
01947-1-01,1060
01947-1-02,1061
01951-1-01,1062
01955-1-01,1063
01956-1-01,1064
01959-1-01,1065
01962-1-02,1066
01963-1-01,1067
01968-1-01,1068
01969-1-01,1069
01969-2-02,1070
01970-1-01,1071
01974-1-01,1072
01974-1-03,1073
01975-1-01,1074
01975-1-02,1075
01977-1-01,1076
01978-1-01,1077
01981-1-01,1078
01983-1-01,1079
01985-1-01,1080
01988-1-02,1081
01991-1-05,1082
01994-1-01,1083
01996-1-01,1084
01998-1-01,1085
02000-1-02,1086
02002-1-01,1087
02003-1-02,1088
02004-1-01,1089
02005-1-01,1090
02008-1-01,1091
02008-1-02,1092
02011-1-02,1093
02012-1-02,1094
02016-1-03,1095
02018-1-01,1096
02019-1-01,1097
02020-1-01,1098
02021-1-01,1099
02026-1-02,1100
02027-1-01,1101
02030-1-02,1102
02031-1-01,1103
02032-1-01,1104
02033-1-01,1105
02037-1-01,1106
02038-1-01,1107
02041-1-01,1108
02047-1-03,1109
02052-1-01,1110
02059-1-01,1111
02060-1-01,1112
02063-1-02,1113
02064-1-01,1114
02065-1-01,1115
02065-1-02,1116
02067-1-01,1117
02074-1-01,1118
02075-1-01,1119
02075-1-02,1120
02076-1-02,1121
02081-1-03,1122
02082-1-01,1123
02083-1-03,1124
02084-1-01,1125
02085-1-02,1126
02087-1-01,1127
02087-1-02,1128
02091-1-01,1129
02093-1-01,1130
02096-1-01,1131
02096-1-02,1132
02099-1-01,1133
02101-1-01,1134
02102-1-01,1135
02104-1-01,1136
02105-1-02,1137
02106-1-02,1138
02109-1-01,1139
02110-1-01,1140
02112-1-02,1141
02113-1-02,1142
02114-1-02,1143
02116-1-03,1144
02117-1-01,1145
02121-1-02,1146
02125-1-01,1147
02126-1-01,1148
02126-1-03,1149
02130-1-01,1150
02131-1-01,1151
02137-1-03,1152
02139-1-01,1153
02141-1-01,1154
02142-1-02,1155
02143-1-02,1156
02143-1-03,1157
02143-1-04,1158
02146-1-01,1159
02146-1-02,1160
02146-2-01,1161
02146-2-03,1162
02147-1-01,1163
02148-1-01,1164
02150-1-02,1165
02154-1-02,1166
02155-1-01,1167
02158-1-01,1168
02162-1-01,1169
02163-1-01,1170
02163-1-02,1171
02166-1-01,1172
02167-1-01,1173
02169-1-01,1174
02169-1-05,1175
02170-1-01,1176
02172-1-01,1177
02173-1-01,1178
02174-1-01,1179
02176-1-02,1180
02177-1-03,1181
02178-1-01,1182
02179-1-01,1183
02180-1-01,1184
02184-1-01,1185
02187-1-01,1186
02187-1-02,1187
02187-1-03,1188
02188-1-01,1189
02188-1-02,1190
02188-1-03,1191
02189-1-02,1192
02191-1-01,1193
02192-1-01,1194
02192-1-02,1195
02194-1-01,1196
02196-1-02,1197
02197-1-02,1198
02198-1-01,1199
02199-1-01,1200
02201-1-01,1201
02201-1-02,1202
02202-1-02,1203
02203-1-02,1204
02204-1-01,1205
02207-2-01,1206
02208-1-01,1207
02211-1-01,1208
02212-1-01,1209
02215-1-02,1210
02216-1-02,1211
02217-1-01,1212
02218-1-02,1213
02219-1-01,1214
02222-1-03,1215
02223-1-01,1216
02223-1-02,1217
02223-1-03,1218
02229-1-01,1219
02230-1-01,1220
02233-1-01,1221
02237-1-02,1222
02238-1-02,1223
02239-1-03,1224
02240-1-01,1225
02240-1-02,1226
02241-1-01,1227
02242-1-01,1228
02244-1-01,1229
02245-1-01,1230
02245-1-02,1231
02249-1-01,1232
02250-1-01,1233
02250-1-02,1234
02250-1-03,1235
02253-1-03,1236
02257-1-01,1237
02261-1-01,1238
02261-1-02,1239
02263-1-01,1240
02263-1-02,1241
02264-1-01,1242
02264-1-02,1243
02266-1-01,1244
02266-1-02,1245
02267-1-01,1246
02271-1-06,1247
02272-1-02,1248
02274-1-01,1249
02274-1-02,1250
02274-1-03,1251
02275-1-01,1252
02276-1-01,1253
02277-1-02,1254
02278-1-02,1255
02282-1-01,1256
02283-1-01,1257
02284-1-01,1258
02287-1-01,1259
02287-1-02,1260
02287-1-03,1261
02288-1-03,1262
02288-1-07,1263
02288-1-08,1264
02291-1-02,1265
02293-1-02,1266
02294-1-02,1267
02295-1-04,1268
02296-1-01,1269
02296-1-03,1270
02298-1-01,1271
02300-1-01,1272
02300-1-03,1273
