PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tf1,Tf2,w,ta,Ec_cuentas_num,Ec_hogar_num,Ec_salud_num,Ec_transporte_num,Ec_educacion_num,ing_jub_aps_num,ing_gpp_num,w_dc_num,t_domestic_work_num,t_care_work_num,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,Ec,Tc,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec,filtro_finite,filtro_trabajo_salario,filtro_tiempo,filtro_Ec,filtro_ingreso_potencial,filtro_mtuem_final
25,00037-1-01,45 a 59,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,60.82,32.59,9.74,3.476739,168,35.06,13.42,13,26,2.87,0,13.9784946236559,3.094518,10.12,5.7,90.35000000000001,13.9784946236559,76.3715053763441,48.95527476,125.3267801363441,64.85000000000001,168,42.330000000000005,86.12848584365588,233.29884771365585,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,74.15,29.4,5.55,4.461359,168,27.51,10.53,10.2,20.4,2.25,0,10.9677419354839,2.983268,52.97,15.18,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,263.2319722645161,58.89999999999999,168,34.949999999999996,67.57779758548389,223.5022946354839,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,00039-1-01,60 o mas,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Usuarios publicos,55.89,39.3,13.03,2.531628,168,56.47,27.88,23.57,50.12,10.14,125,166.095890410959,3.040899,7.5,0.39,168.18,291.095890410959,-122.91589041095898,23.992693109999998,-98.92319730095898,59.78,168,52.33,240.41588622095898,372.895979460959,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
28,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,62.38,24.71,10.57,3.0454,168,0,0,0,0,0,0,0,3.0454,22.18,40.2,0,0,0,189.972052,189.972052,70.34,168,35.28,0,107.44171199999997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
29,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,69.85,43.02,11.68,4.083798,168,31.67,25.1,23.83,39.67,28.04,0,39.1304347826087,3.035432,13.67,6.18,148.31,39.1304347826087,109.1795652173913,60.253325200000006,169.43289041739132,43.45,168,54.7,115.82039988260863,339.20415048260867,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
30,00046-1-04,18 a 29,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad mixta,31.82,33.08,5.07,2.976366,168,1.39,0.93,0.75,1.88,1.49,0,0,3.065173,18.87,7.95,6.4399999999999995,0,6.4399999999999995,82.20793986000001,88.64793986000001,98.03,168,38.15,6.060026260000001,119.60838916,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
31,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,91.01,7.88,5.67,0.8884,168,6,1.28,1.44,2.49,0.45,0,0,3.134379,20.44,0.57,11.66,0,11.66,65.85330279,77.51330279,63.44,168,13.55,3.339981210000005,15.377801210000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
32,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,98.8,18.12,4.67,6.202948,168,61.84,37.74,22.51,64.97,29.5,0,0,2.971739,22.41,32.39,216.56,0,216.56,162.85129719999998,379.4112972,46.41,168,22.79,233.43996520000002,374.80515012000006,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
33,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,68.58,30.39,8.52,7.127654,168,54.97,33.54,20.01,57.75,26.22,0,0,3.107576,19.2,9.38,192.48999999999998,0,192.48999999999998,88.81452207999999,281.30452207999997,60.510000000000005,168,38.91,207.50998923999998,484.8470063799999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34,00055-1-04,18 a 29,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,15.49,51.31,5.66,3.103409,168,0,0,0,0,0,0,0,3.103409,11.36,4.13,0,0,0,48.071805409999996,48.071805409999996,95.53999999999999,168,56.97,7.105427357601002e-15,176.80121073000004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
