id_persona,modulo,choice,T_modulo_sem,choice_interno_v10,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_45_64,edad_65mas,n_menores_18,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_2,quintil_3,quintil_4,quintil_5,ing_personal,PeID,WeID,avl_1,chc_1,wd_1,avl_2,chc_2,wd_2,avl_3,chc_3,wd_3,avl_4,chc_4,wd_4,avl_5,chc_5,wd_5,avl_6,chc_6,wd_6,avl_7,chc_7,wd_7,wc_1,Tw,Tf1,Tf2,Tc,w,Ec,ta,Ec_monetario,Ec_trabajo_no_remunerado,ingreso_libre_observado,ingreso_potencial_neto_Ec,wc_2
00023-1-02,TO,1,44,1,0,0,0,0,4.4,1,1,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,225,16,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,53.92,47.81,6.42,59.849999999999994,4.7225,107.01722016,168,77.38,29.63722016,147.61997984,403.72115484000005,1
00024-1-02,TO,1,40,1,0,0,0,0,4,1,1,0,0,1,0,0,3,4,1,0,0,1,0,0,0,1,420,17,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,47.96,28.93,11.23,79.87999999999998,8.842511,135.29680876,168,131.21,24.086808759999997,288.7900188,643.9052605600002,1
00027-1-01,TO,1,48,1,0,0,0,0,4.8,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,300,18,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,62.06,25.63,12.46,67.85,5.640839,180.59048606,168,130.51999999999998,50.07048606,169.47998228,384.33953979,1
00030-1-01,TD,5,29.88,5,1,0,0,0,2.988,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,125.71,19,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,29.9,35.84,22.8,79.46,3.008059,13.244897154393286,168,49.01,89.94096409999999,76.6960669456067,253.08864670560672,1
00031-1-01,TD,5,40.97,5,1,0,0,0,4.0969999999999995,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154.5,20,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,40.97,64.13,12.11,50.790000000000006,3.025548,26.116701559999996,168,56.66,123.95670156,97.84,328.50777952,1
00032-1-01,TD,5,80.26,5,1,0,0,0,8.026,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,21,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,80.26,5.58,10.45,71.71,3.597166,288.70854316000003,168,0,288.70854316000003,0,57.66257098,1
00032-1-03,TO,1,40,1,0,0,0,0,4,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,100,22,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,52.58,41.84,11.39,62.19,2.64174,106.43268134,168,67.53,38.90268134,32.470007859999996,173.08982806,1
00035-1-01,TO,1,48,1,0,0,0,0,4.8,0,1,0,0,0,0,3,2,0,1,1,0,0,1,0,0,0,100,23,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,54.5,31.72,7.35,74.43,2.206263,88.80131850000001,168,68.56,20.2413185,31.44001499999999,117.63871040999996,1
00037-1-01,TO,2,45,2,0,0,0,0,4.5,0,1,0,0,1,0,1,3,2,1,0,1,0,0,0,1,0,176.48,24,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,60.82,32.59,9.74,64.85000000000001,3.476739,125.3267801363441,168,90.35,48.95527476,86.12848584365588,233.29884771365585,1
00037-1-02,TD,5,52.97,5,1,0,0,0,5.297,1,1,0,0,1,0,1,3,2,1,0,1,0,0,0,1,0,138.47,25,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,74.15,29.4,5.55,58.89999999999999,4.461359,263.2319722645161,168,70.88999999999999,203.3097142,67.57779758548389,223.5022946354839,1
00039-1-03,TD,1,22.18,1,1,0,0,0,2.218,1,0,0,0,0,0,2,2,2,0,0,1,0,0,0,1,0,0,26,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,62.38,24.71,10.57,70.34,3.0454,189.972052,168,0,189.972052,0,107.44171199999997,1
00039-1-03,TC,7,40.2,7,0,1,0,0,4.0200000000000005,1,0,0,0,0,0,2,2,2,0,0,1,0,0,0,1,0,0,26,2,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,62.38,24.71,10.57,70.34,3.0454,189.972052,168,0,189.972052,0,107.44171199999997,1
00041-1-01,TO,7,50,7,0,0,0,0,5,1,1,0,0,1,0,3,2,2,1,0,0,1,0,0,0,1,264.13,27,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,69.85,43.02,11.68,43.45,4.083798,169.43289041739132,168,148.31,60.253325200000006,115.82039988260864,339.20415048260867,1
00046-1-04,TO,1,5,1,0,0,0,0,0.5,1,1,0,1,0,0,2,4,2,0,1,0,0,0,0,0,1,12.5,28,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,6.4399999999999995,82.20793986000001,6.060026260000001,119.60838916,1
00046-1-04,TD,5,18.87,5,1,0,0,0,1.887,1,1,0,1,0,0,2,4,2,0,1,0,0,0,0,0,1,12.5,28,2,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,6.4399999999999995,82.20793986000001,6.060026260000001,119.60838916,1
00046-1-04,TC,1,7.95,1,0,1,0,0,0.795,1,1,0,1,0,0,2,4,2,0,1,0,0,0,0,0,1,12.5,28,3,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,6.4399999999999995,82.20793986000001,6.060026260000001,119.60838916,1
00046-1-04,ED,5,33.18,5,0,0,1,0,3.318,1,1,0,1,0,0,2,4,2,0,1,0,0,0,0,0,1,12.5,28,4,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,6.4399999999999995,82.20793986000001,6.060026260000001,119.60838916,1
00047-1-01,TD,5,20.44,5,1,0,0,0,2.044,1,1,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,15,29,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,91.01,7.88,5.67,63.44,0.8884,77.51330279,168,11.66,65.85330279,3.339981210000005,15.37780121,1
